0;10;0;-47;315;49;313;51;396;-45;398
0;40;0;-30;3;27;3;27;38;-30;38
0;70;0;-24;-113;16;-113;16;-96;-24;-96
30;0;0;430;389;479;376;500;449;451;463
30;30;0;298;85;367;82;369;122;301;126
30;80;0;164;-116;165;-127;207;-123;206;-112
60;-10;0;640;379;660;373;675;427;655;433
60;20;0;539;152;559;142;579;182;559;192
60;70;0;349;-68;352;-78;388;-70;386;-59
80;0;0;666;261;678;255;695;293;683;298
80;30;0;573;97;580;92;603;122;596;127
90;20;0;625;140;633;135;654;165;646;170
90;30;0;593;96;600;89;629;120;621;127
